"studentname","address","city","state","postalcode"
"Thaddeus Curry","7186 Aliquet Street","Columbia","MO","65201"
"Debra Livingston","469-2541 Semper, Rd.","Joliet","IL","60403"
"Heidi Tyler","Ap #200-3584 Amet Street","Overland Park","KS","66215"
"Veronica Payne","P.O. Box 728, 7878 Cum Avenue","Stamford","CT","06902"
"Vivien Justice","P.O. Box 279, 5442 Mauris St.","Owensboro","KY","42301"
"Jennifer Sullivan","420-2067 Urna. Rd.","Auburn","ME","04210"
"Fuller Riddle","4972 Vestibulum, Av.","Green Bay","WI","54313"
"Harper Beck","P.O. Box 749, 4797 Interdum. Av.","Sioux City","IA","51106"
"Laith Henry","838-6731 Proin Rd.","New Haven","CT","06511"
"Kane Roberson","P.O. Box 980, 4507 Lobortis Rd.","Tallahassee","FL","32301"
"Geraldine Clark","4359 Malesuada Av.","Newark","DE","19702"
"Anthony Bryant","P.O. Box 165, 6185 Proin Rd.","Kaneohe","HI","96744"
"Samson Stafford","6771 Purus, Av.","Billings","MT","59101"
"Brenna Pratt","P.O. Box 340, 2345 Orci, Street","Bridgeport","CT","06606"
"Kirestin Huff","P.O. Box 918, 2070 Maecenas Av.","Butte","MT","59701"
"Maite Morgan","Ap #922-4188 Ut Rd.","Lincoln","NE","68503"
"Hadley Mcclain","Ap #812-4012 Sed Road","Clarksville","TN","37040"
"Vera Blackburn","4253 Eget Rd.","Lincoln","NE","68503"
"Luke Smith","1693 Tincidunt. Road","Olathe","KS","66061"
"Hollee Cross","Ap #137-2013 Molestie Av.","Mesa","AZ","85201"
"Jane Irwin","743-4122 Eu St.","Tampa","FL","33604"
"Margaret Knapp","Ap #881-5482 Condimentum Road","Kansas City","KS","66101"
"Brynne Banks","2312 Felis Street","Saint Paul","MN","55110"
"Xantha Love","5393 Cursus, Ave","Phoenix","AR","85003"
"Porter Bullock","190-1915 Dapibus Avenue","Wilmington","DE","19802"
"Shelly Bright","Ap #201-1520 Non Street","Phoenix","AR","85003"
